,startphrase,ending1,ending2,labels
698,The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0
699,The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1
700,The show has all the cancelations of The Simpsons,The show has never been canceled,The show has been canceled many times,0
701,The show has all the cancelations of Futurama,The show has never been canceled,The show has been canceled many times,1
702,Her emotional resilience was as sturdy as glass,She was not emotionally resilient at all.,She had a lot of emotional resilience.,0
703,Her emotional resilience was as sturdy as spider silk,She was not emotionally resilient at all.,She had a lot of emotional resilience.,1
704,Her poem is a business contract.,Her poem is boring.,Her poem is exciting.,0
705,Her poem is a literal manifesto.,Her poem is boring.,Her poem is exciting.,1
706,This computer moves like an obese person in an electric scooter,the computer is slow,the computer is very fast,0
707,This computer moves like a race car,the computer is slow,the computer is very fast,1
708,The mother has the kindness of Santa's wife,The mother is giving,The mother is mean,0
709,The mother has the kindness of a praying Mantis,The mother is giving,The mother is mean,1
710,The student has the insight of a librarian,The student is smart,The student is unwise,0
711,The student has the insight of a goose,The student is smart,The student is unwise,1
712,That thing is as valuable as Jeff Bezos's bank account.,The item is extremely valuable.,The item is not valuable at all.,0
713,That thing is as valuable as an empty beer can.,The item is extremely valuable.,The item is not valuable at all.,1
714,Her boss is a grizzly,Her boss is aggressive and mean,Her boss is docile,0
715,Her boss is a goldfish,Her boss is aggressive and mean,Her boss is docile,1
716,His position on the platform was like A jenga tower.,His position was not stable.,His position was firm.,0
717,His position on the platform was like A house with a stable platform.,His position was not stable.,His position was firm.,1
718,"The gorilla has the strength of a giant, mutant ant",The gorilla is strong,The gorilla is weak,0
719,"The gorilla has the strength of a sick, old man",The gorilla is strong,The gorilla is weak,1
720,His feet were as big as a basketball player's.,His feet were very big.,His feet were small.,0
721,His feet were as big as an adolescent child.,His feet were very big.,His feet were small.,1
722,The gift I received was as welcomed as blessing from God.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,0
723,The gift I received was as welcomed as curse from Satan.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,1
724,The man was as ambitious as an astrophysicist,The man set ambitious goals for himself.,The man lacked ambition.,0
725,The man was as ambitious as a custodian,The man set ambitious goals for himself.,The man lacked ambition.,1
726,The marriage is as good as a fresh out of the oven bagel,They have an awesome marriage,Their marriage is horrible,0
727,The marriage is as good as a month old banana,They have an awesome marriage,Their marriage is horrible,1
728,His mother's voice seemed a splinter,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,0
729,His mother's voice seemed a salve,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,1
730,The book was as exciting as Noam Chomsky on qualudes,The book was boring,The book was gripping,0
731,The book was as exciting as winning the lottery the day you first got laid,The book was boring,The book was gripping,1
732,The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0
733,The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1
734,The chemist was a lumberjack.,The chemist was sloppy.,The chemist was careful.,0
735,The chemist was an artist.,The chemist was sloppy.,The chemist was careful.,1
736,I could devour that book as if it was a slice of my favorite pizza,The book is interesting,The book is dull,0
737,I could devour that book as if it was a shoe sole,The book is interesting,The book is dull,1
738,This novel reads like poetry.,The book has beautiful language.,The book is really boring writing.,0
739,This novel reads like a shopping list.,The book has beautiful language.,The book is really boring writing.,1
740,That man has skin made of titanium.,That man isn't very sensitive.,That man is very sensitive.,0
741,That man has skin made of tissue paper.,That man isn't very sensitive.,That man is very sensitive.,1
742,That girl has the depth of a toilet,That girl is vain.,That girl is profound.,0
743,That girl has the depth of a diving pool.,That girl is vain.,That girl is profound.,1
744,The woman has the skin of a cat's tongue.,That woman has rough skin.,That woman has smooth skin.,0
745,The woman has the skin of mirror.,That woman has rough skin.,That woman has smooth skin.,1
746,The child's singing voice sounded like Madonna's,The child's singing voice was excellent.,The child's singing voice was poor.,0
747,The child's singing voice sounded like a scratchy violin,The child's singing voice was excellent.,The child's singing voice was poor.,1
748,He had as much money as a tent dweller,He had no money.,He had a lot of money.,0
749,He had as much money as a mansion dweller,He had no money.,He had a lot of money.,1
750,The group were as collaborative as a bunch of monkeys,they didnt work well together,they worked well together,0
751,The group were as collaborative as well oiled gears,they didnt work well together,they worked well together,1
752,The display was bright as the sun,it was really bright,it was really dull,0
753,The display was bright as a new moon,it was really bright,it was really dull,1
754,The novel was as deep as a kiddie pool,it had no meaning,it had meaning,0
755,The novel was as deep as the great sea,it had no meaning,it had meaning,1
756,She had the swimming ability of a mermaid,She was a good swimmer,She was a bad swimmer,0
757,She had the swimming ability of a boulder,She was a good swimmer,She was a bad swimmer,1
758,This game is as hard as doing 1000 push ups,The game is very hard,The game is very easy,0
759,This game is as hard as brushing my teeth,The game is very hard,The game is very easy,1
760,Her eyes were as sparkly as ocean water,Her eyes were pretty,they weren't very pretty,0
761,Her eyes were as sparkly as mud,Her eyes were pretty,they weren't very pretty,1
762,She has the reality bending power of Dr. Manhattan from Watchmen,She has great reality bending powers,She has no ability to bend reality,0
763,She has the reality bending power of Nite Owl from Watchmen,She has great reality bending powers,She has no ability to bend reality,1
764,The new Hollywood movie has the intensity of a rollercoaster.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,0
765,The new Hollywood movie has the intensity of an evening with grandma.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,1
766,Hollywood has the depth of a puddle.,Hollywood is shallow.,Hollywood is profound.,0
767,Hollywood has the depth of a skyscraper.,Hollywood is shallow.,Hollywood is profound.,1
768,The man has a height of a mouse.,The man is very short.,The man is tall.,0
769,The man has a height of a skyscraper.,The man is very short.,The man is tall.,1
770,The mother was as controlling as a Navy captain,The mother was a very controlling person.,The mother had a very loose parenting style.,0
771,The mother was as controlling as a babysitter yakking on her cell phone,The mother was a very controlling person.,The mother had a very loose parenting style.,1
772,He's as free as a released prisoner.,He's very free.,He's not free at all.,0
773,He's as free as a death-row inmate.,He's very free.,He's not free at all.,1
774,Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0
775,Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1
776,Jake was floating on the lake like Dandelion seeds floating in the air.,Jake was floating like he was weightless.,Jake was too heavy to float.,0
777,Jake was floating on the lake like Concrete shoes,Jake was floating like he was weightless.,Jake was too heavy to float.,1
778,Life is as easy as Kindergarten for a high school senior.,Life is basic.,Life is beyond comprehension.,0
779,Life is as easy as Kindergarten for a newborn.,Life is basic.,Life is beyond comprehension.,1
780,She was as sweet as the days are long,She is very sweet,She isn't sweet at all,0
781,She was as sweet as vinegar,She is very sweet,She isn't sweet at all,1
782,He's as deep as a puddle,He doesn't have a lot of insight,He has a great deal of insight,0
783,He's as deep as the sea,He doesn't have a lot of insight,He has a great deal of insight,1
784,My aunt has a heart of gold,"My aunt is very generous, loving","My aunt is very cold, stoic",0
785,My aunt has a heart of steel,"My aunt is very generous, loving","My aunt is very cold, stoic",1
786,The mean girl has the depth of a kiddie pool.,The mean girl is superficial.,The mean girl is deep.,0
787,The mean girl has the depth of the sea.,The mean girl is superficial.,The mean girl is deep.,1
788,The actor is a yeti.,The actor is hairy.,The actor is hairless.,0
789,The actor is a baby's bottom.,The actor is hairy.,The actor is hairless.,1
790,The girl was as short as the Eiffel Tower,The girl was tall.,The girl was very short.,0
791,The girl was as short as a second,The girl was tall.,The girl was very short.,1
792,The man's heart was as big as the sea,The man had endless love.,The man was stingy about his love.,0
793,The man's heart was as big as a pea,The man had endless love.,The man was stingy about his love.,1
794,The boy's voice was as loud as a ship's whistle,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,0
795,The boy's voice was as loud as a fish,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,1
796,They left town like a jet,They left town quickly.,They left town slowly.,0
797,They left town like a herd of turtles,They left town quickly.,They left town slowly.,1
798,It had the consistency of water,It was liquid.,It was solid.,0
799,It had the consistency of concrete,It was liquid.,It was solid.,1
800,Living in a city is like Living with metal trees.,Is not natural or close to nature.,City life is easy and comfortable.,0
801,Living in a city is like a walk along the lake shore.,Is not natural or close to nature.,City life is easy and comfortable.,1
802,Life is like skydiving,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,0
803,Life is like cycling.,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,1
804,Your career is like a flowing river.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,0
805,Your career is like a roller coaster ride.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,1
806,He ate like a horse,He ate a lot,He barely ate at all,0
807,He ate like a bird,He ate a lot,He barely ate at all,1
808,The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,0
809,The groups are as separate as strands of yarn.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,1
810,When you are in a slump focus on first base,just do the first part of your goal,stop and look at life.,0
811,When you are in a slump focus on the roses,just do the first part of your goal,stop and look at life.,1
812,The girl's engagement ring sparkled like New Year's Eve confetti,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,0
813,The girl's engagement ring sparkled like a block of lead,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,1
814,He's as fun as a party,He's fun,He's boring,0
815,He's as fun as watching paint dry,He's fun,He's boring,1
816,He has eyes like a hawk,He sees well,He can't see well,0
817,He has eyes like a bat,He sees well,He can't see well,1
818,He's as lenient as a prison guard.,He's not lenient at all.,He's very lenient.,0
819,He's as lenient as a dad trying to win his kids' love.,He's not lenient at all.,He's very lenient.,1
820,He keeps time like a stopwatch.,He keeps time really well.,He doesn't keep time that well.,0
821,He keeps time like a three-year old on sugar.,He keeps time really well.,He doesn't keep time that well.,1
822,The country has all the enemies of a wounded seal in shark infested waters,The country has many enemies,The country has few enemies,0
823,The country has all the enemies of Mister Rogers,The country has many enemies,The country has few enemies,1
824,That dog has the fur of a naked mole rat.,The dog is bald.,The dog is fluffy.,0
825,That dog has the fur of a lion's mane.,The dog is bald.,The dog is fluffy.,1
826,The baby is as loud as a whisper.,The baby is quiet.,The baby makes a lot of noise.,0
827,The baby is as loud as a foghorn.,The baby is quiet.,The baby makes a lot of noise.,1
828,Honesty is a down comforter for one's conscience.,Honesty creates a clear conscience.,Honesty restricts ambition.,0
829,Honesty is a burden on one's ambitions.,Honesty creates a clear conscience.,Honesty restricts ambition.,1
830,The car had the speed of Zeus chasing a pretty young maiden.,Fast like a god hitting on a girl,The car had to be going slow.,0
831,The car had the speed of a street sign in a school zone.,Fast like a god hitting on a girl,The car had to be going slow.,1
832,The child worked as hard as a premed student,The child put forth his best effort.,The child was lazy.,0
833,The child worked as hard as a high school dropout,The child put forth his best effort.,The child was lazy.,1
834,He roared like a lion,He roared loudly,He roared softly,0
835,He roared like a kitten,He roared loudly,He roared softly,1
836,The defenses are as thick as steel,The defenses are strong,The defenses are weak,0
837,The defenses are as thick as air,The defenses are strong,The defenses are weak,1
838,The comedian was as funny as a clown,The comedian was funny,The comedian was not funny,0
839,The comedian was as funny as a corpse,The comedian was funny,The comedian was not funny,1
840,That city was the heartbeat of California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,0
841,That city was a blister on California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,1
842,The writer's work is as inspired as a morning sunrise,The writer's work is totally refreshing.,The writer's work is bland.,0
843,The writer's work is as inspired as a peanut butter sandwich,The writer's work is totally refreshing.,The writer's work is bland.,1
844,The movie has the depth of a cookie sheet filled with melted red Jello,The movie is boring,The movie is profound,0
845,The movie has the depth of the deepest most mysterious part of the Marianna Trench in the darkest black ocean,The movie is boring,The movie is profound,1
846,The room is as crowded as the beach in the summer,The room is packed.,The room is empty.,0
847,The room is as crowded as the Arctic,The room is packed.,The room is empty.,1
848,The kitchen counter looked like a toddler cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,0
849,The kitchen counter looked like an Army general cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,1
850,He punches like a gorilla,his punches are heavy,his punches are light,0
851,He punches like a mosquito,his punches are heavy,his punches are light,1
852,The horse had the power of a Ferrari.,The horse is very strong.,The horse is weak.,0
853,The horse had the power of a bicycle.,The horse is very strong.,The horse is weak.,1
854,The judge had the intelligence of a cricket.,The judge is not smart.,The judge is smart.,0
855,The judge had the intelligence of a surgeon.,The judge is not smart.,The judge is smart.,1
856,That wave was as big as everest.,The wave was very big.,The wave wasn't big at all.,0
857,That wave was as big as a pebble.,The wave was very big.,The wave wasn't big at all.,1
858,She could eat like a a starved bear.,She ate very ravenously.,She barely ate..,0
859,She could eat like a an ant.,She ate very ravenously.,She barely ate..,1
860,The high school athlete has the speed of a jaguar,The high school athlete is fast.,The high school athlete is slow.,0
861,The high school athlete has the speed of a banana slug,The high school athlete is fast.,The high school athlete is slow.,1
862,The professor is as engaging as Bill Cosby,The professor is very engaging.,The professor is very dry.,0
863,The professor is as engaging as a dictionary,The professor is very engaging.,The professor is very dry.,1
864,Jim is a rusty toolbox.,Jim is useless.,Jim is useful.,0
865,Jim is a cabinet full of tools.,Jim is useless.,Jim is useful.,1
866,His eyes move like a hummingbird's wings,His eyes move rapidly,His eyes move slowly,0
867,His eyes move like a giant sloth,His eyes move rapidly,His eyes move slowly,1
868,The table is a bed of rocks.,The table is bumpy.,The table is smooth.,0
869,The table is a sheet of glass.,The table is bumpy.,The table is smooth.,1
870,This is about as legal as the supreme court.,It's very legal.,It's very illegal.,0
871,This is about as legal as a bank robbery.,It's very legal.,It's very illegal.,1
872,This is as fun as a bowl of nachos.,It's very fun.,It's not fun at all.,0
873,This is as fun as stubbing your toe.,It's very fun.,It's not fun at all.,1
874,His eyes have the sharpness of an eagle with binoculars,His eyes are very good,His eyesight is poor,0
875,His eyes have the sharpness of a bat with broken glasses,His eyes are very good,His eyesight is poor,1
876,He's smart as a whip,He's very smart,He's not smart at all,0
877,He's smart as a brick,He's very smart,He's not smart at all,1
878,The stars shined as bright as the sun,The stars were very bright,The stars were dull,0
879,The stars shined as bright as wood,The stars were very bright,The stars were dull,1
880,The actor was as famous as Jesus Christ.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,0
881,The actor was as famous as the local mailman.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,1
882,The shopping list was as detailed as the Constitution.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,0
883,The shopping list was as detailed as a toddler's letter to Santa.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,1
884,The homework assignment was as difficult as an end-of-the-year project.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,0
885,The homework assignment was as difficult as reciting the ABCs.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,1
886,She is a porcelain plate.,She is delicate.,She is tough.,0
887,She is a pizza pan.,She is delicate.,She is tough.,1
888,The man's ego was the size of a pea,The man's ego was tiny.,The man had a big ego.,0
889,The man's ego was the size of a boulder,The man's ego was tiny.,The man had a big ego.,1
890,The blanket was as soft as a marshmallow,The blanket was super soft.,The blanket was not soft at all.,0
891,The blanket was as soft as a crocodile's armor,The blanket was super soft.,The blanket was not soft at all.,1
892,The football player a hurricane,The football player is destructive.,The football player is resistant.,0
893,The football player a brick.,The football player is destructive.,The football player is resistant.,1
894,The hole goes all the way down to the center of the earth,the hole is deep,the hole is shallow,0
895,The hole goes all the way down to the tops of my shoes,the hole is deep,the hole is shallow,1
896,The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0
897,The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1
898,The letter had the depth of a tide pool.,The letter was superficial.,The letter was profound.,0
899,The letter had the depth of the bottom of the sea.,The letter was superficial.,The letter was profound.,1
900,The professor had the depth of a bath tub.,The professor was boring.,The professor was profound.,0
901,The professor had the depth of the Mariana Trench.,The professor was boring.,The professor was profound.,1
902,He sang like he'd just been divorced.,He was very emotional while singing.,He was not emotional at all.,0
903,He sang like a robot in need of an update.,He was very emotional while singing.,He was not emotional at all.,1
904,The sunset had the hue of a bowl of fresh picked oranges,The sunset was very orange,The sunset was hardly orange at all,0
905,"The sunset had the hue of a bowl of rotten, six week old oranges",The sunset was very orange,The sunset was hardly orange at all,1
906,My friend's arrival was a swift as a turtle,My friend was slow to arrive,My friend arrived quickly,0
907,My friend's arrival was a swift as a formula 1 race car,My friend was slow to arrive,My friend arrived quickly,1
908,Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0
909,Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1
910,The rustling was as loud as a power lawn mower,The rustling was obnoxiously loud.,The rustling was very quiet.,0
911,The rustling was as loud as a library,The rustling was obnoxiously loud.,The rustling was very quiet.,1
912,"When Billy danced, it was poetry on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,0
913,"When Billy danced, it was an oil spill on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,1
914,The man's room looked like a junkyard,The man's room was a mess.,The man's room was well organized.,0
915,The man's room looked like a classroom on the first day of school,The man's room was a mess.,The man's room was well organized.,1
916,The football fans at the beginning of the season were as hopeful as people on New Year's Day.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,0
917,The football fans at the beginning of the season were as hopeful as one of the characters stuck in Dante's inferno.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,1
918,The priest had the disposition of a dictator.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",0
919,The priest had the disposition of Christ himself.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",1
920,The TV show was as easy to understand as one of Hegel's philosophy books.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,0
921,The TV show was as easy to understand as Dr. Seuss tale.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,1
922,The movie's excitement level was like that of Watching paint dry,The movie is boring,The movie is exciting,0
923,The movie's excitement level was like that of A three-ring circus,The movie is boring,The movie is exciting,1
924,The book had the clarity of glass,The book was clear and easy to understand,The book was confusing and hard to understand,0
925,The book had the clarity of mud,The book was clear and easy to understand,The book was confusing and hard to understand,1
926,The phone had all the charge of a nuclear power plant before a meltdown,The phone has a lot of charge,The phone has no charge,0
927,The phone had all the charge of a Sega Game Gear left in the attic for 25 years,The phone has a lot of charge,The phone has no charge,1
928,This book has the originality of a copy machine,This book is predictable and overdone,This book has nothing like it,0
929,This book has the originality of a snowflake,This book is predictable and overdone,This book has nothing like it,1
930,That flower has the beauty of a peacock sitting in a weeping willow under a rainbow,The flower is beautiful and rare,That flower is disgusting,0
931,That flower has the beauty of the bottom of an empty dumpster,The flower is beautiful and rare,That flower is disgusting,1
932,It was as challenging as Mt. Everest,It was difficult.,It was easy.,0
933,It was as challenging as tying one's shoes,It was difficult.,It was easy.,1
934,The movie has the speed of a dead chicken.,The movie is slow.,The movie is fast-paced.,0
935,The movie has the speed of a Lamborghini.,The movie is slow.,The movie is fast-paced.,1
936,The girl's smile was as bright as a Christmas ornament,The girl's smile was exuberant.,The girl didn't smile very brightly.,0
937,The girl's smile was as bright as a piece of slate,The girl's smile was exuberant.,The girl didn't smile very brightly.,1
938,The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0
939,The car is a treasure chest.,The car is trash.,The car is wonderful.,1
940,The cat is a  wooly mammoth.,The cat is hairy.,The cat is bald.,0
941,The cat is a naked mole rat.,The cat is hairy.,The cat is bald.,1
942,Mornings spent here are nightmares comes to life.,The mornings there are awful.,The mornings there are wonderful.,0
943,Mornings spent here are dreams come true.,The mornings there are awful.,The mornings there are wonderful.,1
944,Toddlers are angels in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,0
945,Toddlers are devils in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,1
946,That man had all the charm of skunk spray.,He was not charming at all.,He was very charming.,0
947,That man had all the charm of a chocolate strawberry.,He was not charming at all.,He was very charming.,1
948,The cat is as small as a hippopotamus.,The cat is very large.,The cat is tiny.,0
949,The cat is as small as an ant.,The cat is very large.,The cat is tiny.,1
950,The field is as green as a school bus.,The field is yellow and dying.,The field is bright green.,0
951,The field is as green as a tree frog.,The field is yellow and dying.,The field is bright green.,1
952,The car was a cheetah,The car was fast,The car was slow,0
953,The car was a slug,The car was fast,The car was slow,1
954,The meaning of life is quantum theory.,The meaning of life is complicated,The meaning of life is simple,0
955,"The meaning of life is duck, duck, goose",The meaning of life is complicated,The meaning of life is simple,1
956,He smelled like success,He smelled good.,He smelled bad.,0
957,He smelled like defeat,He smelled good.,He smelled bad.,1
958,Her laughter was like a favorite song,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,0
959,Her laughter was like a woodchipper,The sound of her laughter was pleasant.,The sound of her laughter was unpleasant.,1
960,The girl makes her emotions as easy to read as a geometry textbook,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,0
961,The girl makes her emotions as easy to read as a billboard sign,The girl's emotions are hard to read.,The girl's emotions are really easy to figure out.,1
962,The lawyer's tenacity was like a bulldog,The lawyer was highly motivated.,The lawyer had no drive.,0
963,The lawyer's tenacity was like a koala,The lawyer was highly motivated.,The lawyer had no drive.,1
964,The child swims as well as a salmon,The child swims really expertly.,The child flounders around in the pool.,0
965,The child swims as well as a peacock,The child swims really expertly.,The child flounders around in the pool.,1
966,The dog barked as loudly as a cheering audience,The dog yipped wildly.,The dog made no sound.,0
967,The dog barked as loudly as a sleeping baby,The dog yipped wildly.,The dog made no sound.,1
968,The chapter has the depth of a bathtub.,The chapter is boring.,The chapter is profound.,0
969,The chapter has the depth of the sea.,The chapter is boring.,The chapter is profound.,1
970,The driveway is a ski slope.,The driveway is steep.,The driveway is flat.,0
971,The driveway is a plain.,The driveway is steep.,The driveway is flat.,1
972,The sandwich is as thick as a dictionary,the sandwich is huge,the sandwich is thin,0
973,The sandwich is as thick as a veil,the sandwich is huge,the sandwich is thin,1
974,The tea tastes like paper,the tea is flavorless,the tea has interesting flavors,0
975,The tea tastes like the tropics,the tea is flavorless,the tea has interesting flavors,1
976,The sandwich bread had the thickness of a car tire,The bread was thick,The bread was thin,0
977,The sandwich bread had the thickness of a wood shaving,The bread was thick,The bread was thin,1
978,The woman's waistline had the width of a toothpick,The waistline was small,The waistline was large,0
979,The woman's waistline had the width of the equator,The waistline was small,The waistline was large,1
980,The conversation was as shallow as a bird bath,The conversation was superficial,The conversation was intriguing,0
981,The conversation was a deep rabbit hole,The conversation was superficial,The conversation was intriguing,1
982,Her pillow is a rock,The pillow is hard,The pillow is soft,0
983,Her pillow is a marshmallow,The pillow is hard,The pillow is soft,1
984,The air is a warm hug,The air is warm and cozy,The air is cold and irritating,0
985,The air is a biting fly,The air is warm and cozy,The air is cold and irritating,1
986,The sandwich was a mother's hug.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,0
987,The sandwich was a fist to the face.,The sandwich was delicious and comforting.,The sandwich was painfully unpleasant.,1
988,The shower had the moisture of a greenhouse in a hurricane,The shower was moist,The shower had little moisture,0
989,The shower had the moisture of a pizza left in the oven for an hour,The shower was moist,The shower had little moisture,1
990,The ball was a trampoline,The ball was bouncy,The ball was not bouncy,0
991,The ball was a brick of lead,The ball was bouncy,The ball was not bouncy,1
992,The teacher graded as harshly as a Navy SEAL,The teacher's grading was very difficult.,The teacher's grading was very relaxed.,0
993,The teacher graded as harshly as a saint,The teacher's grading was very difficult.,The teacher's grading was very relaxed.,1
994,She's as cool as Antarctica.,She's very cool.,She's not very cool.,0
995,She's as cool as the Sahara.,She's very cool.,She's not very cool.,1
996,Rest is a sky full of clouds.,Rest is very restful.,Rest is restless.,0
997,Rest is pacing back and forth.,Rest is very restful.,Rest is restless.,1
998,Her nail polish was as shiny as aluminium foil,Her nail polish was shiny,Her nail polish was dull,0
999,Her nail polish was as shiny as dull metal,Her nail polish was shiny,Her nail polish was dull,1
1000,This baseball game has the entertainment value watching paint dry,baseball is boring,baseball has action,0
1001,This baseball game has the entertainment value an action movie,baseball is boring,baseball has action,1
1002,The girl is as coordinated as the London symphony,The girl is very well coordinated.,The girl has no coordination at all.,0
1003,The girl is as coordinated as a baby giraffe,The girl is very well coordinated.,The girl has no coordination at all.,1
1004,The movie's star was as well-known as a primary color,The movie star was a household name.,The movie star was totally obsolete.,0
1005,The movie's star was as well-known as the color burlywood,The movie star was a household name.,The movie star was totally obsolete.,1
1006,The doctor is a bigfoot.,The doctor is sloppy.,The doctor is careful.,0
1007,The doctor is an artist.,The doctor is sloppy.,The doctor is careful.,1
1008,The joke is like a ton of concrete.,The joke is terrible.,The joke is hilarious.,0
1009,The joke is like a hit of laughing gas.,The joke is terrible.,The joke is hilarious.,1
1010,He shares as much as scrooge.,He doesn't share much at all.,He shares a lot.,0
1011,He shares as much as Santa Claus.,He doesn't share much at all.,He shares a lot.,1
1012,The basketball player had the height of a giraffe,The player was tall,The player was short,0
1013,The basketball player had the height of an ant,The player was tall,The player was short,1
1014,Spilling secrets to a friend can be a walking disaster down the line,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,0
1015,Spilling secrets to a friend can be a a magnetic experience for the group,Spilling secrets to a friend is a bad idea,Spilling secrets to a friend is a way to bring people together to talk about things,1
1016,Cats have the luck of The Irish,They have good fortune,Cats keep trying until they get the results they want,0
1017,Cats have the luck of A compulsive gambler,They have good fortune,Cats keep trying until they get the results they want,1
1018,The mattress was as comfortable as a pile of marshmallows,The mattress was very comfortable.,The mattress was uncomfortable.,0
1019,The mattress was as comfortable as a pile of rocks,The mattress was very comfortable.,The mattress was uncomfortable.,1
1020,The plane ride was as choppy as a knife,The plane ride was very choppy.,The plane ride was smooth.,0
1021,The plane ride was as choppy as a freshwater lake,The plane ride was very choppy.,The plane ride was smooth.,1
1022,This painting makes me feel as if I am home.,The painting makes the speaker feel safe and in a familiar place.,The painting makes the speaker feel out of their element and unsure.,0
1023,This painting makes me feel as if I am lost.,The painting makes the speaker feel safe and in a familiar place.,The painting makes the speaker feel out of their element and unsure.,1
1024,He had the artistic talent of a Renaissance artist,He was artistically talented,He was artistically untalented,0
1025,He had the artistic talent of a finger-painting toddler,He was artistically talented,He was artistically untalented,1
1026,"When it comes to running, I'm practically a cheetah.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",0
1027,"When it comes to running, I'm practically a turtle.","When it comes to running, I'm very fast.","When it comes to running, I'm very slow.",1
1028,The new product was iPhone like.,The new product was expensive.,The new product was economical.,0
1029,The new product was LG like,The new product was expensive.,The new product was economical.,1
1030,This weeknight meal encompasses as much food as the Last Supper,This weeknight meal is very lavish.,This weeknight meal barely has any food.,0
1031,This weeknight meal encompasses as much food as a few crumbs,This weeknight meal is very lavish.,This weeknight meal barely has any food.,1
1032,She's as gentle as a puppy.,She's very gentle.,She's vicious.,0
1033,She's as gentle as a shark.,She's very gentle.,She's vicious.,1
1034,This food has the flavor of ambrosia,This food tastes good.,This food tastes bad.,0
1035,This food has the flavor of garbage,This food tastes good.,This food tastes bad.,1
1036,The chef's sauce has the taste of A liquid drained through soiled socks.,The chef's sauce was horrible.,The chef's sauce tasted great.,0
1037,The chef's sauce has the taste of A wonderful condiment from heaven.,The chef's sauce was horrible.,The chef's sauce tasted great.,1
