,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
629,His head is as big as A push pin,His head is large,His head is small,1,push pin,"small, sharp, handy","His head is as big as A push pin. Characteristics of push pin include: small, sharp, handy."
630,He has the health of a race winning horse,His health is good,His health is poor,0,horse,"fast, strong, noble","He has the health of a race winning horse. Characteristics of horse include: fast, strong, noble."
631,He has the health of a woolly mammoth,His health is good,His health is poor,1,mammoth,"huge, imposing, ancient","He has the health of a woolly mammoth. Characteristics of mammoth include: huge, imposing, ancient."
632,The tree has the height of the Burj Khalifa,The tree is extremely tall,The tree is short,0,Burj Khalifa,"tall, majestic, iconic","The tree has the height of the Burj Khalifa. Characteristics of Burj Khalifa include: tall, majestic, iconic."
633,The tree has the height of a baby teacup poodle,The tree is extremely tall,The tree is short,1,poodle,"intelligent, elegant, graceful","The tree has the height of a baby teacup poodle. Characteristics of poodle include: intelligent, elegant, graceful."
634,The soda has the carbonation of a kid blowing into a cup with a straw,The soda has a lot of carbonation,The soda is flat,0,carbonation,"Effervescent, fizzy, invigorating","The soda has the carbonation of a kid blowing into a cup with a straw. Characteristics of carbonation include: Effervescent, fizzy, invigorating."
635,The soda has the carbonation of a crepe dinner,The soda has a lot of carbonation,The soda is flat,1,dinner,"Satisfying, communal, comforting","The soda has the carbonation of a crepe dinner. Characteristics of dinner include: Satisfying, communal, comforting."
636,Her fingernails were brittle like stale bread,Her fingernails were brittle,Her fingernails were not brittle,0,bread,"nutritious, comforting, versatile","Her fingernails were brittle like stale bread. Characteristics of bread include: nutritious, comforting, versatile."
637,Her fingernails were brittle like diamonds,Her fingernails were brittle,Her fingernails were not brittle,1,diamonds,"brilliant, precious, dazzling","Her fingernails were brittle like diamonds. Characteristics of diamonds include: brilliant, precious, dazzling."
638,His soul was a black hole,His soul was evil,His soul was good,0,hole,"Empty, dark, deep","His soul was a black hole. Characteristics of hole include: Empty, dark, deep."
639,His soul was heavenly,His soul was evil,His soul was good,1,soul,"enigmatic, ethereal, eternal","His soul was heavenly. Characteristics of soul include: enigmatic, ethereal, eternal."
640,She was a suitcase ready to be opened.,She was extroverted.,She was introverted.,0,suitcase,"portable, spacious, durable","She was a suitcase ready to be opened. Characteristics of suitcase include: portable, spacious, durable."
641,She was a locked treasure chest.,She was extroverted.,She was introverted.,1,chest,"hidden, protective, strong","She was a locked treasure chest. Characteristics of chest include: hidden, protective, strong."
642,The book's message is as meaningful as a family heirloom,The book's message has profound meaning.,The book's message has no meaning.,0,heirloom,"nostalgic, cherished, timeless","The book's message is as meaningful as a family heirloom. Characteristics of heirloom include: nostalgic, cherished, timeless."
643,The book's message is as meaningful as junkyard finds,The book's message has profound meaning.,The book's message has no meaning.,1,finds,"searching, discovering, unearthing","The book's message is as meaningful as junkyard finds. Characteristics of finds include: searching, discovering, unearthing."
644,He can run like a fugitive.,He can run really fast.,He cannot run really fast.,0,fugitive,"elusive, elusive, dangerous","He can run like a fugitive. Characteristics of fugitive include: elusive, elusive, dangerous."
645,He can run like an eighty-year old man.,He can run really fast.,He cannot run really fast.,1,man,"strong, independent, resilient","He can run like an eighty-year old man. Characteristics of man include: strong, independent, resilient."
646,My phone buzzes like a bee,My phone is busy.,My phone is quiet.,0,bee,"hardworking, industrious, buzzing","My phone buzzes like a bee. Characteristics of bee include: hardworking, industrious, buzzing."
647,My phone buzzes like a statue,My phone is busy.,My phone is quiet.,1,statue,"still, lifeless, timeless","My phone buzzes like a statue. Characteristics of statue include: still, lifeless, timeless."
648,The stick had the brittleness of the bones of an 80 year old woman who never drank milk,The stick is very brittle,The stick is strong,0,bones,"hard, solid, structural","The stick had the brittleness of the bones of an 80 year old woman who never drank milk. Characteristics of bones include: hard, solid, structural."
649,The stick had the brittleness of the diamonds core of an exotic star,The stick is very brittle,The stick is strong,1,diamonds,"precious, dazzling, enduring","The stick had the brittleness of the diamonds core of an exotic star. Characteristics of diamonds include: precious, dazzling, enduring."
650,Her perfume lingered like a mangy dog,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,0,dog,"loyal, playful, protective","Her perfume lingered like a mangy dog. Characteristics of dog include: loyal, playful, protective."
651,Her perfume lingered like a fairy,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,1,perfume,"fragrant, alluring, intoxicating","Her perfume lingered like a fairy. Characteristics of perfume include: fragrant, alluring, intoxicating."
652,That old machine is as useful as an udder on a bull,The machine is useless,The machine does a great job,0,udder,"milky, swollen, productive","That old machine is as useful as an udder on a bull. Characteristics of udder include: milky, swollen, productive."
653,That old machine is as useful as new machines,The machine is useless,The machine does a great job,1,machine,"complex, efficient, robotic","That old machine is as useful as new machines. Characteristics of machine include: complex, efficient, robotic."
654,He had the depth of a bathtub,He was shallow.,He was deep.,0,bathtub,"relaxing, cleansing, comforting","He had the depth of a bathtub. Characteristics of bathtub include: relaxing, cleansing, comforting."
655,He had the depth of the sea,He was shallow.,He was deep.,1,sea,"calming, boundless, mysterious","He had the depth of the sea. Characteristics of sea include: calming, boundless, mysterious."
656,The sky was a piece of onyx,The night sky was black.,The sky was white.,0,onyx,"smooth, mysterious, elegant","The sky was a piece of onyx. Characteristics of onyx include: smooth, mysterious, elegant."
657,The sky was an opal,The night sky was black.,The sky was white.,1,opal,"Translucent, iridescent, mysterious","The sky was an opal. Characteristics of opal include: Translucent, iridescent, mysterious."
658,The movie was as funny as a book of knock-knock jokes,The movie wasn't really funny.,The movie was hilarious.,0,book,"Informative, captivating, enlightening","The movie was as funny as a book of knock-knock jokes. Characteristics of book include: Informative, captivating, enlightening."
659,The movie was as funny as a standup comedy show,The movie wasn't really funny.,The movie was hilarious.,1,show,"entertaining, revealing, engaging","The movie was as funny as a standup comedy show. Characteristics of show include: entertaining, revealing, engaging."
660,The fence has the rust of an old nail,The fence is very rusty,The fence is not rusty,0,nail,"sharp, sturdy, versatile","The fence has the rust of an old nail. Characteristics of nail include: sharp, sturdy, versatile."
661,The fence has the rust of a diamond,The fence is very rusty,The fence is not rusty,1,diamond,"Rare, Precious, Brilliant","The fence has the rust of a diamond. Characteristics of diamond include: Rare, Precious, Brilliant."
662,She's as cultured as champagne.,She is very cultured.,She isn't cultured at all.,0,champagne,"bubbly, intoxicating, celebratory","She's as cultured as champagne. Characteristics of champagne include: bubbly, intoxicating, celebratory."
663,She's as cultured as a bud-light.,She is very cultured.,She isn't cultured at all.,1,bud-light,"refreshing, light, popular","She's as cultured as a bud-light. Characteristics of bud-light include: refreshing, light, popular."
664,Her tastes are more Ferrari than backyard junker.,Her tastes are extremely expensive.,Her tastes are cheap.,0,Ferrari,"expensive, sleek, powerful","Her tastes are more Ferrari than backyard junker. Characteristics of Ferrari include: expensive, sleek, powerful."
665,Her tastes are more backyard junker than Ferrari.,Her tastes are extremely expensive.,Her tastes are cheap.,1,Ferrari,"sleek, powerful, iconic","Her tastes are more backyard junker than Ferrari. Characteristics of Ferrari include: sleek, powerful, iconic."
666,The quarterback was throwing straight surface-to-air missiles.,He throws far,He can't throw very well,0,missiles,"powerful, destructive, precise","The quarterback was throwing straight surface-to-air missiles. Characteristics of missiles include: powerful, destructive, precise."
667,The quarterback was throwing straight duds,He throws far,He can't throw very well,1,duds,"failure, worthless, unimpressive","The quarterback was throwing straight duds. Characteristics of duds include: failure, worthless, unimpressive."
668,His argument was like a shadow,his argument had no substance,his argument was felt,0,shadow,"dark, mysterious, elusive","His argument was like a shadow. Characteristics of shadow include: dark, mysterious, elusive."
669,His argument was like a chiropractor,his argument had no substance,his argument was felt,1,chiropractor,"skilled, manipulative, holistic","His argument was like a chiropractor. Characteristics of chiropractor include: skilled, manipulative, holistic."
670,The day was like a news clip,the day went by fast,the day was really long,0,clip,"Fast, concise, useful","The day was like a news clip. Characteristics of clip include: Fast, concise, useful."
671,The day was like the Pan-American Highway,the day went by fast,the day was really long,1,Highway,"busy, endless, connecting","The day was like the Pan-American Highway. Characteristics of Highway include: busy, endless, connecting."
672,The meeting was as solemn as Sunday morning Mass.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,0,Mass,"vast, dense, profound","The meeting was as solemn as Sunday morning Mass. Characteristics of Mass include: vast, dense, profound."
673,The meeting was as solemn as a college football game.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,1,game,"Entertaining, competitive, strategic","The meeting was as solemn as a college football game. Characteristics of game include: Entertaining, competitive, strategic."
674,The restaurant experience was like a stately dinner.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,0,dinner,"Satisfying, communal, indulgent","The restaurant experience was like a stately dinner. Characteristics of dinner include: Satisfying, communal, indulgent."
675,The restaurant experience was like a dinner at grandma's on the weekend.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,1,grandma's,"loving, nurturing, wise","The restaurant experience was like a dinner at grandma's on the weekend. Characteristics of grandma's include: loving, nurturing, wise."
676,The lawyer was as humble as Icarus.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,0,Icarus,"ambitious, reckless, soaring","The lawyer was as humble as Icarus. Characteristics of Icarus include: ambitious, reckless, soaring."
677,The lawyer was as humble as an ancient monk.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,1,monk,"tranquil, ascetic, devoted","The lawyer was as humble as an ancient monk. Characteristics of monk include: tranquil, ascetic, devoted."
678,The bike tires have the sturdiness of a vanilla wafer.,The bike tires are flimsy.,The bike tires are well built.,0,wafer,"crunchy, delicate, thin","The bike tires have the sturdiness of a vanilla wafer. Characteristics of wafer include: crunchy, delicate, thin."
679,The bike tires have the sturdiness of Atlas.,The bike tires are flimsy.,The bike tires are well built.,1,Atlas,"powerful, mythical, encompassing","The bike tires have the sturdiness of Atlas. Characteristics of Atlas include: powerful, mythical, encompassing."
680,The lake is a wave pool.,The lake is choppy.,The lake is calm.,0,pool,"Relaxing, refreshing, communal","The lake is a wave pool. Characteristics of pool include: Relaxing, refreshing, communal."
681,The lake is a sheet of glass.,The lake is choppy.,The lake is calm.,1,glass,"transparent, fragile, reflective","The lake is a sheet of glass. Characteristics of glass include: transparent, fragile, reflective."
682,The ocean is a sheet of ice.,The ocean is smooth.,The ocean is choppy.,0,ice,"cold, solid, transparent","The ocean is a sheet of ice. Characteristics of ice include: cold, solid, transparent."
683,The ocean is a bed of rocks.,The ocean is smooth.,The ocean is choppy.,1,rocks,"hard, solid, enduring","The ocean is a bed of rocks. Characteristics of rocks include: hard, solid, enduring."
684,The TV show has the depth of a toilet.,The TV show is shallow.,The TV show is cerebral.,0,toilet,"functional, private, necessary","The TV show has the depth of a toilet. Characteristics of toilet include: functional, private, necessary."
685,The TV show has the depth of the dead sea.,The TV show is shallow.,The TV show is cerebral.,1,sea,"vast, mysterious, serene","The TV show has the depth of the dead sea. Characteristics of sea include: vast, mysterious, serene."
686,She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0,wood shavings,"fragile, delicate, natural","She was as flaky as wood shavings. Characteristics of wood shavings include: fragile, delicate, natural."
687,She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1,steel,"strong, resilient, enduring","She was as flaky as steel. Characteristics of steel include: strong, resilient, enduring."
688,The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0,sky,"Expansive, limitless, breathtaking","The book is an complex as the night sky. Characteristics of sky include: Expansive, limitless, breathtaking."
689,The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1,puzzle,"intricate, enigmatic, perplexing","The book is an complex as a children's puzzle. Characteristics of puzzle include: intricate, enigmatic, perplexing."
690,Driving in this fog was like moving in quicksand,the fog was thick,the fog was thin,0,quicksand,"treacherous, deceptive, engulfing","Driving in this fog was like moving in quicksand. Characteristics of quicksand include: treacherous, deceptive, engulfing."
691,Driving in this fog was like a photon travelling in empty space,the fog was thick,the fog was thin,1,photon,"Subatomic, ethereal, enigmatic","Driving in this fog was like a photon travelling in empty space. Characteristics of photon include: Subatomic, ethereal, enigmatic."
692,"When she hustles, she looks like a transformer",she hustles cumbersomely,she hustles gracefully,0,transformer,"versatile, adaptive, influential","When she hustles, she looks like a transformer. Characteristics of transformer include: versatile, adaptive, influential."
693,"When she hustles, she looks like a gazelle",she hustles cumbersomely,she hustles gracefully,1,gazelle,"graceful, elegant, agile","When she hustles, she looks like a gazelle. Characteristics of gazelle include: graceful, elegant, agile."
694,He's as transparent as a window.,He is easy to read.,He is not easy to read.,0,window,"transparent, expansive, illuminating","He's as transparent as a window. Characteristics of window include: transparent, expansive, illuminating."
695,He's as transparent as a sandstorm.,He is easy to read.,He is not easy to read.,1,sandstorm,"relentless, chaotic, blinding","He's as transparent as a sandstorm. Characteristics of sandstorm include: relentless, chaotic, blinding."
696,That movie was as long as a prison sentence.,The movie was really long.,The movie was really short.,0,sentence,"captivating, expressive, transformative","That movie was as long as a prison sentence. Characteristics of sentence include: captivating, expressive, transformative."
697,That movie was as long as a fifty-yard dash.,The movie was really long.,The movie was really short.,1,dash,"quick, energetic, bold","That movie was as long as a fifty-yard dash. Characteristics of dash include: quick, energetic, bold."
698,The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0,thighs,"sensual, tempting, desirable","The fog has the thickness of a heavy woman's thighs. Characteristics of thighs include: sensual, tempting, desirable."
699,The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1,Christian Bale,"talented, versatile, intense","The fog has the thickness of Christian Bale in The Machinist. Characteristics of Christian Bale include: talented, versatile, intense."
700,The show has all the cancelations of The Simpsons,The show has never been canceled,The show has been canceled many times,0,cancelations,"intentional, disruptive, unexpected","The show has all the cancelations of The Simpsons. Characteristics of cancelations include: intentional, disruptive, unexpected."
701,The show has all the cancelations of Futurama,The show has never been canceled,The show has been canceled many times,1,cancelations,"overwhelming, disappointing, unpredictable","The show has all the cancelations of Futurama. Characteristics of cancelations include: overwhelming, disappointing, unpredictable."
702,Her emotional resilience was as sturdy as glass,She was not emotionally resilient at all.,She had a lot of emotional resilience.,0,glass,"transparent, fragile, reflective","Her emotional resilience was as sturdy as glass. Characteristics of glass include: transparent, fragile, reflective."
703,Her emotional resilience was as sturdy as spider silk,She was not emotionally resilient at all.,She had a lot of emotional resilience.,1,silk,"smooth, delicate, luxurious","Her emotional resilience was as sturdy as spider silk. Characteristics of silk include: smooth, delicate, luxurious."
704,Her poem is a business contract.,Her poem is boring.,Her poem is exciting.,0,contract,"binding, negotiated, limited","Her poem is a business contract. Characteristics of contract include: binding, negotiated, limited."
705,Her poem is a literal manifesto.,Her poem is boring.,Her poem is exciting.,1,manifesto,"assertive, transformative, provocative","Her poem is a literal manifesto. Characteristics of manifesto include: assertive, transformative, provocative."
706,This computer moves like an obese person in an electric scooter,the computer is slow,the computer is very fast,0,person,"Individual, Unique, Complex","This computer moves like an obese person in an electric scooter. Characteristics of person include: Individual, Unique, Complex."
707,This computer moves like a race car,the computer is slow,the computer is very fast,1,car,"fast, efficient, sleek","This computer moves like a race car. Characteristics of car include: fast, efficient, sleek."
708,The mother has the kindness of Santa's wife,The mother is giving,The mother is mean,0,wife,"devoted, nurturing, supportive","The mother has the kindness of Santa's wife. Characteristics of wife include: devoted, nurturing, supportive."
709,The mother has the kindness of a praying Mantis,The mother is giving,The mother is mean,1,Mantis,"Fierce, Agile, Cunning","The mother has the kindness of a praying Mantis. Characteristics of Mantis include: Fierce, Agile, Cunning."
710,The student has the insight of a librarian,The student is smart,The student is unwise,0,librarian,"knowledgeable, organized, resourceful","The student has the insight of a librarian. Characteristics of librarian include: knowledgeable, organized, resourceful."
711,The student has the insight of a goose,The student is smart,The student is unwise,1,goose,"honking, waddling, protective","The student has the insight of a goose. Characteristics of goose include: honking, waddling, protective."
712,That thing is as valuable as Jeff Bezos's bank account.,The item is extremely valuable.,The item is not valuable at all.,0,bank account,"secured, dependable, versatile","That thing is as valuable as Jeff Bezos's bank account. Characteristics of bank account include: secured, dependable, versatile."
713,That thing is as valuable as an empty beer can.,The item is extremely valuable.,The item is not valuable at all.,1,beer can,"Refreshing, portable, versatile","That thing is as valuable as an empty beer can. Characteristics of beer can include: Refreshing, portable, versatile."
714,Her boss is a grizzly,Her boss is aggressive and mean,Her boss is docile,0,bear,"fierce, powerful, adaptable","Her boss is a grizzly. Characteristics of bear include: fierce, powerful, adaptable."
715,Her boss is a goldfish,Her boss is aggressive and mean,Her boss is docile,1,goldfish,"shimmering, whimsical, vibrant","Her boss is a goldfish. Characteristics of goldfish include: shimmering, whimsical, vibrant."
716,His position on the platform was like A jenga tower.,His position was not stable.,His position was firm.,0,tower,"majestic, commanding, lofty","His position on the platform was like A jenga tower. Characteristics of tower include: majestic, commanding, lofty."
717,His position on the platform was like A house with a stable platform.,His position was not stable.,His position was firm.,1,house,"Cozy, sheltering, comforting","His position on the platform was like A house with a stable platform. Characteristics of house include: Cozy, sheltering, comforting."
718,"The gorilla has the strength of a giant, mutant ant",The gorilla is strong,The gorilla is weak,0,ant,"Hardworking, industrious, resilient","The gorilla has the strength of a giant, mutant ant. Characteristics of ant include: Hardworking, industrious, resilient."
719,"The gorilla has the strength of a sick, old man",The gorilla is strong,The gorilla is weak,1,man,"strong, noble, wise","The gorilla has the strength of a sick, old man. Characteristics of man include: strong, noble, wise."
720,His feet were as big as a basketball player's.,His feet were very big.,His feet were small.,0,player's,"dynamic, strategic, competitive","His feet were as big as a basketball player's. Characteristics of player's include: dynamic, strategic, competitive."
721,His feet were as big as an adolescent child.,His feet were very big.,His feet were small.,1,child,"innocent, curious, playful","His feet were as big as an adolescent child. Characteristics of child include: innocent, curious, playful."
722,The gift I received was as welcomed as blessing from God.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,0,God,"Omniscient, transcendent, benevolent","The gift I received was as welcomed as blessing from God. Characteristics of God include: Omniscient, transcendent, benevolent."
723,The gift I received was as welcomed as curse from Satan.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,1,Satan,"Evil, Deceptive, Tempting","The gift I received was as welcomed as curse from Satan. Characteristics of Satan include: Evil, Deceptive, Tempting."
724,The man was as ambitious as an astrophysicist,The man set ambitious goals for himself.,The man lacked ambition.,0,astrophysicist,"Curious, inquisitive, imaginative","The man was as ambitious as an astrophysicist. Characteristics of astrophysicist include: Curious, inquisitive, imaginative."
725,The man was as ambitious as a custodian,The man set ambitious goals for himself.,The man lacked ambition.,1,custodian,"caretaking, diligent, responsible","The man was as ambitious as a custodian. Characteristics of custodian include: caretaking, diligent, responsible."
726,The marriage is as good as a fresh out of the oven bagel,They have an awesome marriage,Their marriage is horrible,0,bagel,"round, doughy, delicious","The marriage is as good as a fresh out of the oven bagel. Characteristics of bagel include: round, doughy, delicious."
727,The marriage is as good as a month old banana,They have an awesome marriage,Their marriage is horrible,1,banana,"yellow, sweet, curved","The marriage is as good as a month old banana. Characteristics of banana include: yellow, sweet, curved."
728,His mother's voice seemed a splinter,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,0,splinter,"sharp, penetrating, fragmentary","His mother's voice seemed a splinter. Characteristics of splinter include: sharp, penetrating, fragmentary."
729,His mother's voice seemed a salve,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,1,voice,"Persuasive, expressive, captivating","His mother's voice seemed a salve. Characteristics of voice include: Persuasive, expressive, captivating."
730,The book was as exciting as Noam Chomsky on qualudes,The book was boring,The book was gripping,0,Noam Chomsky,"Intellectual, influential, outspoken","The book was as exciting as Noam Chomsky on qualudes. Characteristics of Noam Chomsky include: Intellectual, influential, outspoken."
731,The book was as exciting as winning the lottery the day you first got laid,The book was boring,The book was gripping,1,lottery,"Random, uncertain, thrilling","The book was as exciting as winning the lottery the day you first got laid. Characteristics of lottery include: Random, uncertain, thrilling."
732,The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0,reaper,"grim, relentless, haunting","The preschool teacher was a grim reaper. Characteristics of reaper include: grim, relentless, haunting."
733,The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1,clown,"funny, entertaining, colorful","The preschool teacher was a clown. Characteristics of clown include: funny, entertaining, colorful."
734,The chemist was a lumberjack.,The chemist was sloppy.,The chemist was careful.,0,lumberjack,"strong, rugged, outdoorsy","The chemist was a lumberjack. Characteristics of lumberjack include: strong, rugged, outdoorsy."
735,The chemist was an artist.,The chemist was sloppy.,The chemist was careful.,1,artist,"Creative, Expressive, Imaginative","The chemist was an artist. Characteristics of artist include: Creative, Expressive, Imaginative."
736,I could devour that book as if it was a slice of my favorite pizza,The book is interesting,The book is dull,0,pizza,"cheesy, satisfying, indulgent","I could devour that book as if it was a slice of my favorite pizza. Characteristics of pizza include: cheesy, satisfying, indulgent."
737,I could devour that book as if it was a shoe sole,The book is interesting,The book is dull,1,book,"knowledgeable, captivating, transformative","I could devour that book as if it was a shoe sole. Characteristics of book include: knowledgeable, captivating, transformative."
738,This novel reads like poetry.,The book has beautiful language.,The book is really boring writing.,0,poetry,"lyrical, evocative, expressive","This novel reads like poetry. Characteristics of poetry include: lyrical, evocative, expressive."
739,This novel reads like a shopping list.,The book has beautiful language.,The book is really boring writing.,1,list,"Organized, versatile, informative","This novel reads like a shopping list. Characteristics of list include: Organized, versatile, informative."
740,That man has skin made of titanium.,That man isn't very sensitive.,That man is very sensitive.,0,titanium,"strong, resilient, durable","That man has skin made of titanium. Characteristics of titanium include: strong, resilient, durable."
741,That man has skin made of tissue paper.,That man isn't very sensitive.,That man is very sensitive.,1,paper,"versatile, fragile, absorbent","That man has skin made of tissue paper. Characteristics of paper include: versatile, fragile, absorbent."
742,That girl has the depth of a toilet,That girl is vain.,That girl is profound.,0,toilet,"functional, private, essential","That girl has the depth of a toilet. Characteristics of toilet include: functional, private, essential."
743,That girl has the depth of a diving pool.,That girl is vain.,That girl is profound.,1,pool,"calm, refreshing, communal","That girl has the depth of a diving pool. Characteristics of pool include: calm, refreshing, communal."
744,The woman has the skin of a cat's tongue.,That woman has rough skin.,That woman has smooth skin.,0,tongue,"articulate, sensual, versatile","The woman has the skin of a cat's tongue. Characteristics of tongue include: articulate, sensual, versatile."
745,The woman has the skin of mirror.,That woman has rough skin.,That woman has smooth skin.,1,mirror,"Reflective, Illusory, Revealing","The woman has the skin of mirror. Characteristics of mirror include: Reflective, Illusory, Revealing."
746,The child's singing voice sounded like Madonna's,The child's singing voice was excellent.,The child's singing voice was poor.,0,Madonna,"Iconic, influential, versatile","The child's singing voice sounded like Madonna's. Characteristics of Madonna include: Iconic, influential, versatile."
747,The child's singing voice sounded like a scratchy violin,The child's singing voice was excellent.,The child's singing voice was poor.,1,violin,"Melodic, expressive, versatile","The child's singing voice sounded like a scratchy violin. Characteristics of violin include: Melodic, expressive, versatile."
748,He had as much money as a tent dweller,He had no money.,He had a lot of money.,0,money,"valuable, powerful, elusive","He had as much money as a tent dweller. Characteristics of money include: valuable, powerful, elusive."
749,He had as much money as a mansion dweller,He had no money.,He had a lot of money.,1,mansion,"grand, opulent, luxurious","He had as much money as a mansion dweller. Characteristics of mansion include: grand, opulent, luxurious."
750,The group were as collaborative as a bunch of monkeys,they didnt work well together,they worked well together,0,monkeys,"playful, mischievous, curious","The group were as collaborative as a bunch of monkeys. Characteristics of monkeys include: playful, mischievous, curious."
751,The group were as collaborative as well oiled gears,they didnt work well together,they worked well together,1,gears,"mechanical, efficient, interconnected","The group were as collaborative as well oiled gears. Characteristics of gears include: mechanical, efficient, interconnected."
752,The display was bright as the sun,it was really bright,it was really dull,0,sun,"Radiant, luminous, celestial","The display was bright as the sun. Characteristics of sun include: Radiant, luminous, celestial."
753,The display was bright as a new moon,it was really bright,it was really dull,1,moon,"mysterious, luminous, ethereal","The display was bright as a new moon. Characteristics of moon include: mysterious, luminous, ethereal."
754,The novel was as deep as a kiddie pool,it had no meaning,it had meaning,0,pool,"refreshing, communal, relaxing","The novel was as deep as a kiddie pool. Characteristics of pool include: refreshing, communal, relaxing."
755,The novel was as deep as the great sea,it had no meaning,it had meaning,1,sea,"Vast, mysterious, powerful","The novel was as deep as the great sea. Characteristics of sea include: Vast, mysterious, powerful."
756,She had the swimming ability of a mermaid,She was a good swimmer,She was a bad swimmer,0,mermaid,"enchanting, mythical, alluring","She had the swimming ability of a mermaid. Characteristics of mermaid include: enchanting, mythical, alluring."
757,She had the swimming ability of a boulder,She was a good swimmer,She was a bad swimmer,1,boulder,"immovable, massive, formidable","She had the swimming ability of a boulder. Characteristics of boulder include: immovable, massive, formidable."
758,This game is as hard as doing 1000 push ups,The game is very hard,The game is very easy,0,push ups,"intense, challenging, effective","This game is as hard as doing 1000 push ups. Characteristics of push ups include: intense, challenging, effective."
759,This game is as hard as brushing my teeth,The game is very hard,The game is very easy,1,teeth,"Sharp, Strong, Bite","This game is as hard as brushing my teeth. Characteristics of teeth include: Sharp, Strong, Bite."
760,Her eyes were as sparkly as ocean water,Her eyes were pretty,they weren't very pretty,0,water,"refreshing, essential, life-giving","Her eyes were as sparkly as ocean water. Characteristics of water include: refreshing, essential, life-giving."
761,Her eyes were as sparkly as mud,Her eyes were pretty,they weren't very pretty,1,mud,"dirty, sticky, messy","Her eyes were as sparkly as mud. Characteristics of mud include: dirty, sticky, messy."
762,She has the reality bending power of Dr. Manhattan from Watchmen,She has great reality bending powers,She has no ability to bend reality,0,Dr. Manhattan,"Enigmatic, omnipotent, ethereal","She has the reality bending power of Dr. Manhattan from Watchmen. Characteristics of Dr. Manhattan include: Enigmatic, omnipotent, ethereal."
763,She has the reality bending power of Nite Owl from Watchmen,She has great reality bending powers,She has no ability to bend reality,1,Nite Owl,"mysterious, nocturnal, observant","She has the reality bending power of Nite Owl from Watchmen. Characteristics of Nite Owl include: mysterious, nocturnal, observant."
764,The new Hollywood movie has the intensity of a rollercoaster.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,0,rollercoaster,"exciting, thrilling, unpredictable","The new Hollywood movie has the intensity of a rollercoaster. Characteristics of rollercoaster include: exciting, thrilling, unpredictable."
765,The new Hollywood movie has the intensity of an evening with grandma.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,1,grandma,"loving, wise, nurturing","The new Hollywood movie has the intensity of an evening with grandma. Characteristics of grandma include: loving, wise, nurturing."
766,Hollywood has the depth of a puddle.,Hollywood is shallow.,Hollywood is profound.,0,puddle,"Wet, shallow, stagnant","Hollywood has the depth of a puddle. Characteristics of puddle include: Wet, shallow, stagnant."
767,Hollywood has the depth of a skyscraper.,Hollywood is shallow.,Hollywood is profound.,1,skyscraper,"tall, impressive, iconic","Hollywood has the depth of a skyscraper. Characteristics of skyscraper include: tall, impressive, iconic."
768,The man has a height of a mouse.,The man is very short.,The man is tall.,0,mouse,"tiny, sneaky, adaptable","The man has a height of a mouse. Characteristics of mouse include: tiny, sneaky, adaptable."
769,The man has a height of a skyscraper.,The man is very short.,The man is tall.,1,skyscraper,"tall, impressive, iconic","The man has a height of a skyscraper. Characteristics of skyscraper include: tall, impressive, iconic."
770,The mother was as controlling as a Navy captain,The mother was a very controlling person.,The mother had a very loose parenting style.,0,captain,"strong, bold, courageous","The mother was as controlling as a Navy captain. Characteristics of captain include: strong, bold, courageous."
771,The mother was as controlling as a babysitter yakking on her cell phone,The mother was a very controlling person.,The mother had a very loose parenting style.,1,yakking,"loquacious, incessant, chattering","The mother was as controlling as a babysitter yakking on her cell phone. Characteristics of yakking include: loquacious, incessant, chattering."
772,He's as free as a released prisoner.,He's very free.,He's not free at all.,0,prisoner,"confined, oppressed, restrained","He's as free as a released prisoner. Characteristics of prisoner include: confined, oppressed, restrained."
